City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,swakopmund,-22.6833,14.5333,63.45,77,49,5.99,NA,2023-11-09
293,tinajo,29.0788,-13.7081,72.48,64,20,19.57,ES,2023-11-09
294,soroti,1.7146,33.6111,73.85,68,100,1.99,UG,2023-11-09
295,puerto deseado,-47.7503,-65.8938,56.93,43,1,10.18,AR,2023-11-09
296,mahajanga,-15.7167,46.3167,84.22,79,40,9.22,MG,2023-11-09
297,nuuk,64.1835,-51.7216,27.21,80,75,6.91,GL,2023-11-09
298,puerto boyaca,5.9758,-74.5885,93.36,50,68,2.93,CO,2023-11-09
299,sherbakul',54.6316,72.3963,37.04,87,100,6.58,RU,2023-11-09
300,santiago de cao,-7.9589,-79.2392,69.93,78,0,10.36,PE,2023-11-09
301,hilo,19.7297,-155.09,83.28,83,40,5.75,US,2023-11-09
302,muravlenko,63.7898,74.523,24.22,86,87,14.45,RU,2023-11-09
303,auki,-8.7676,160.7034,76.96,92,100,6.15,SB,2023-11-09
304,mount isa,-20.7333,139.5,69.57,94,100,8.05,AU,2023-11-09
305,vallegrande,-18.4897,-64.1069,81.79,35,42,13.47,BO,2023-11-09
306,magadan,59.5667,150.8,-1.37,80,4,7.14,RU,2023-11-09
307,al qusiyah,27.4402,30.8184,80.87,43,0,11.97,EG,2023-11-09
308,island harbour,50.724,-1.2758,50.94,79,64,5.99,GB,2023-11-09
309,sumbawa besar,-8.5,117.4333,75.11,87,100,3.83,ID,2023-11-09
310,kailua-kona,19.6406,-155.9956,78.6,77,0,4.61,US,2023-11-09
311,gadzhiyevo,69.2551,33.3362,20.93,93,88,11.01,RU,2023-11-09
312,bamboo flat,11.7,92.7167,78.89,94,40,2.3,IN,2023-11-09
313,ladysmith,48.9829,-123.8194,47.32,95,75,0.0,CA,2023-11-09
314,monteagudo,-19.8167,-63.9833,98.89,24,94,11.03,BO,2023-11-09
315,holualoa,19.6228,-155.9522,74.88,75,0,5.01,US,2023-11-09
316,padang,-0.9492,100.3543,75.25,94,100,2.53,ID,2023-11-09
317,villa mercedes,-33.6757,-65.4578,88.43,15,52,16.75,AR,2023-11-09
318,kalayaan,14.35,121.5667,71.24,97,46,5.06,PH,2023-11-09
319,hotan,37.0997,79.9269,47.19,21,92,1.05,CN,2023-11-09
320,newman,37.3138,-121.0208,59.23,47,21,3.89,US,2023-11-09
321,kavieng,-2.5744,150.7967,83.88,72,100,11.05,PG,2023-11-09
322,porbandar,21.6422,69.6093,81.75,58,6,7.11,IN,2023-11-09
323,kone,-21.0595,164.8658,64.8,75,71,3.67,NC,2023-11-09
324,liffre,48.2132,-1.5084,47.48,86,73,14.61,FR,2023-11-09
325,shumerlya,55.5005,46.4129,42.33,93,100,10.85,RU,2023-11-09
326,moses lake,47.1301,-119.2781,39.88,87,20,6.91,US,2023-11-09
327,okha,53.5739,142.9478,26.06,85,100,9.69,RU,2023-11-09
328,sault ste. marie,46.5168,-84.3333,39.76,75,40,14.97,CA,2023-11-09
329,mitha tiwana,32.2486,72.1108,69.62,52,18,7.29,PK,2023-11-09
330,baiyin,36.5583,104.2081,38.57,46,84,4.25,CN,2023-11-09
331,cheney,47.4874,-117.5758,36.99,84,100,8.05,US,2023-11-09
332,dryden,49.7833,-92.7503,34.09,80,75,5.75,CA,2023-11-09
333,childress,34.4264,-100.204,53.85,47,75,12.66,US,2023-11-09
334,assab,13.0092,42.7394,83.21,67,73,25.61,ER,2023-11-09
335,st. thomas,42.7736,-81.1804,49.48,75,96,16.26,CA,2023-11-09
336,ilomantsi,62.6716,30.9328,32.7,98,98,4.9,FI,2023-11-09
337,maun,-19.9833,23.4167,89.96,19,14,11.45,BW,2023-11-09
338,tual,-5.6667,132.75,81.05,80,67,6.38,ID,2023-11-09
339,thinadhoo,0.5333,72.9333,80.96,77,87,5.35,MV,2023-11-09
340,udachny,66.4167,112.4,8.46,84,100,3.62,RU,2023-11-09
341,chernomorskoye,45.5039,32.6997,55.78,54,26,10.6,UA,2023-11-09
342,hasaki,35.7333,140.8333,54.0,68,5,8.12,JP,2023-11-09
343,gunnison,38.7,-107.0673,28.9,40,58,1.03,US,2023-11-09
344,mahibadhoo,3.7833,72.9667,79.88,80,100,2.37,MV,2023-11-09
345,asandh,29.5167,76.6,72.12,34,4,3.31,IN,2023-11-09
